ID	gene
REACTOME_SIGNALING_BY_RHO_GTPASES	7532
REACTOME_SIGNALING_BY_RHO_GTPASES	3799
REACTOME_SIGNALING_BY_RHO_GTPASES	11214
REACTOME_SIGNALING_BY_RHO_GTPASES	147179
REACTOME_SIGNALING_BY_RHO_GTPASES	57449
REACTOME_SIGNALING_BY_RHO_GTPASES	1072
REACTOME_SIGNALING_BY_RHO_GTPASES	29984
REACTOME_SIGNALING_BY_RHO_GTPASES	286205
REACTOME_SIGNALING_BY_RHO_GTPASES	10276
REACTOME_SIGNALING_BY_RHO_GTPASES	55055
REACTOME_SIGNALING_BY_RHO_GTPASES	64837
REACTOME_SIGNALING_BY_RHO_GTPASES	9793
REACTOME_SIGNALING_BY_RHO_GTPASES	392
REACTOME_SIGNALING_BY_RHO_GTPASES	378708
REACTOME_SIGNALING_BY_RHO_GTPASES	2810
REACTOME_SIGNALING_BY_RHO_GTPASES	10458
REACTOME_SIGNALING_BY_RHO_GTPASES	2
REACTOME_SIGNALING_BY_RHO_GTPASES	84617
REACTOME_SIGNALING_BY_RHO_GTPASES	391
REACTOME_SIGNALING_BY_RHO_GTPASES	2885
REACTOME_SIGNALING_BY_RHO_GTPASES	6232
REACTOME_SIGNALING_BY_RHO_GTPASES	79861
REACTOME_SIGNALING_BY_RHO_GTPASES	9212
REACTOME_SIGNALING_BY_RHO_GTPASES	55920
REACTOME_SIGNALING_BY_RHO_GTPASES	5062
REACTOME_SIGNALING_BY_RHO_GTPASES	23526
REACTOME_SIGNALING_BY_RHO_GTPASES	8334
REACTOME_SIGNALING_BY_RHO_GTPASES	8347
REACTOME_SIGNALING_BY_RHO_GTPASES	3985
REACTOME_SIGNALING_BY_RHO_GTPASES	348235
REACTOME_SIGNALING_BY_RHO_GTPASES	389337
REACTOME_SIGNALING_BY_RHO_GTPASES	653604
REACTOME_SIGNALING_BY_RHO_GTPASES	51807
REACTOME_SIGNALING_BY_RHO_GTPASES	128239
REACTOME_SIGNALING_BY_RHO_GTPASES	71
REACTOME_SIGNALING_BY_RHO_GTPASES	8338
REACTOME_SIGNALING_BY_RHO_GTPASES	9735
REACTOME_SIGNALING_BY_RHO_GTPASES	8349
REACTOME_SIGNALING_BY_RHO_GTPASES	752
REACTOME_SIGNALING_BY_RHO_GTPASES	8340
REACTOME_SIGNALING_BY_RHO_GTPASES	5600
REACTOME_SIGNALING_BY_RHO_GTPASES	5501
REACTOME_SIGNALING_BY_RHO_GTPASES	257106
REACTOME_SIGNALING_BY_RHO_GTPASES	4771
REACTOME_SIGNALING_BY_RHO_GTPASES	116985
REACTOME_SIGNALING_BY_RHO_GTPASES	613
REACTOME_SIGNALING_BY_RHO_GTPASES	54821
REACTOME_SIGNALING_BY_RHO_GTPASES	10383
REACTOME_SIGNALING_BY_RHO_GTPASES	401541
REACTOME_SIGNALING_BY_RHO_GTPASES	3014
REACTOME_SIGNALING_BY_RHO_GTPASES	10811
REACTOME_SIGNALING_BY_RHO_GTPASES	9901
