SYMBOL	GO TERM	GO NAME	TAXON ID
SMC3	GO:0006974	cellular response to DNA damage stimulus	9606
BID	GO:0006974	cellular response to DNA damage stimulus	9606
TNP1	GO:0006974	cellular response to DNA damage stimulus	9606
E9PQ18	GO:0006974	cellular response to DNA damage stimulus	9606
CCND1	GO:0006974	cellular response to DNA damage stimulus	9606
MDM4	GO:0006974	cellular response to DNA damage stimulus	9606
WAC	GO:0006974	cellular response to DNA damage stimulus	9606
GPS1	GO:0006974	cellular response to DNA damage stimulus	9606
XRCC6	GO:0006974	cellular response to DNA damage stimulus	9606
PRPF19	GO:0006974	cellular response to DNA damage stimulus	9606
FANCL	GO:0006974	cellular response to DNA damage stimulus	9606
TFAP4	GO:0006974	cellular response to DNA damage stimulus	9606
TRIM32	GO:0006974	cellular response to DNA damage stimulus	9606
ATAD5	GO:0006974	cellular response to DNA damage stimulus	9606
PPP1R10	GO:0006974	cellular response to DNA damage stimulus	9606
PLA2R1	GO:0006974	cellular response to DNA damage stimulus	9606
FANCI	GO:0006974	cellular response to DNA damage stimulus	9606
EXD2	GO:0006974	cellular response to DNA damage stimulus	9606
ALKBH7	GO:0006974	cellular response to DNA damage stimulus	9606
RIF1	GO:0006974	cellular response to DNA damage stimulus	9606
ALKBH3	GO:0006974	cellular response to DNA damage stimulus	9606
CDC14B	GO:0006974	cellular response to DNA damage stimulus	9606
CINP	GO:0006974	cellular response to DNA damage stimulus	9606
UHRF1	GO:0006974	cellular response to DNA damage stimulus	9606
TERF2IP	GO:0006974	cellular response to DNA damage stimulus	9606
MMS19	GO:0006974	cellular response to DNA damage stimulus	9606
ACTR2	GO:0006974	cellular response to DNA damage stimulus	9606
PNKP	GO:0006974	cellular response to DNA damage stimulus	9606
HMOX1	GO:0006974	cellular response to DNA damage stimulus	9606
AURKA	GO:0006974	cellular response to DNA damage stimulus	9606
FANCA	GO:0006974	cellular response to DNA damage stimulus	9606
TMEM109	GO:0006974	cellular response to DNA damage stimulus	9606
TP73	GO:0006974	cellular response to DNA damage stimulus	9606
CDKN2AIP	GO:0006974	cellular response to DNA damage stimulus	9606
ETAA1	GO:0006974	cellular response to DNA damage stimulus	9606
AATF	GO:0006974	cellular response to DNA damage stimulus	9606
RAD51B	GO:0006974	cellular response to DNA damage stimulus	9606
GADD45A	GO:0006974	cellular response to DNA damage stimulus	9606
DNTT	GO:0006974	cellular response to DNA damage stimulus	9606
TRIM28	GO:0006974	cellular response to DNA damage stimulus	9606
BABAM2	GO:0006974	cellular response to DNA damage stimulus	9606
INO80C	GO:0006974	cellular response to DNA damage stimulus	9606
PPP4R2	GO:0006974	cellular response to DNA damage stimulus	9606
