pathway	entrezgene
KEGG CHEMOKINE SIGNALING PATHWAY	6359
KEGG CHEMOKINE SIGNALING PATHWAY	3551
KEGG CHEMOKINE SIGNALING PATHWAY	207
KEGG CHEMOKINE SIGNALING PATHWAY	208
KEGG CHEMOKINE SIGNALING PATHWAY	3718
KEGG CHEMOKINE SIGNALING PATHWAY	399694
KEGG CHEMOKINE SIGNALING PATHWAY	1794
KEGG CHEMOKINE SIGNALING PATHWAY	3717
KEGG CHEMOKINE SIGNALING PATHWAY	6362
KEGG CHEMOKINE SIGNALING PATHWAY	131890
KEGG CHEMOKINE SIGNALING PATHWAY	409
KEGG CHEMOKINE SIGNALING PATHWAY	6361
KEGG CHEMOKINE SIGNALING PATHWAY	408
KEGG CHEMOKINE SIGNALING PATHWAY	6364
KEGG CHEMOKINE SIGNALING PATHWAY	7410
KEGG CHEMOKINE SIGNALING PATHWAY	6363
KEGG CHEMOKINE SIGNALING PATHWAY	10000
KEGG CHEMOKINE SIGNALING PATHWAY	4893
KEGG CHEMOKINE SIGNALING PATHWAY	6366
KEGG CHEMOKINE SIGNALING PATHWAY	6368
KEGG CHEMOKINE SIGNALING PATHWAY	7074
KEGG CHEMOKINE SIGNALING PATHWAY	6367
KEGG CHEMOKINE SIGNALING PATHWAY	51764
KEGG CHEMOKINE SIGNALING PATHWAY	6777
KEGG CHEMOKINE SIGNALING PATHWAY	4790
KEGG CHEMOKINE SIGNALING PATHWAY	6011
KEGG CHEMOKINE SIGNALING PATHWAY	4793
KEGG CHEMOKINE SIGNALING PATHWAY	4792
KEGG CHEMOKINE SIGNALING PATHWAY	6360
KEGG CHEMOKINE SIGNALING PATHWAY	23533
KEGG CHEMOKINE SIGNALING PATHWAY	5970
KEGG CHEMOKINE SIGNALING PATHWAY	2788
KEGG CHEMOKINE SIGNALING PATHWAY	2787
KEGG CHEMOKINE SIGNALING PATHWAY	3845
KEGG CHEMOKINE SIGNALING PATHWAY	53358
KEGG CHEMOKINE SIGNALING PATHWAY	2268
KEGG CHEMOKINE SIGNALING PATHWAY	2784
KEGG CHEMOKINE SIGNALING PATHWAY	2783
KEGG CHEMOKINE SIGNALING PATHWAY	6369
KEGG CHEMOKINE SIGNALING PATHWAY	5613
KEGG CHEMOKINE SIGNALING PATHWAY	2786
KEGG CHEMOKINE SIGNALING PATHWAY	2785
KEGG CHEMOKINE SIGNALING PATHWAY	2770
KEGG CHEMOKINE SIGNALING PATHWAY	2790
KEGG CHEMOKINE SIGNALING PATHWAY	2771
KEGG CHEMOKINE SIGNALING PATHWAY	2791
KEGG CHEMOKINE SIGNALING PATHWAY	2792
KEGG CHEMOKINE SIGNALING PATHWAY	6376
KEGG CHEMOKINE SIGNALING PATHWAY	2793
KEGG CHEMOKINE SIGNALING PATHWAY	6375
KEGG CHEMOKINE SIGNALING PATHWAY	6374
KEGG CHEMOKINE SIGNALING PATHWAY	109
KEGG CHEMOKINE SIGNALING PATHWAY	6373
KEGG CHEMOKINE SIGNALING PATHWAY	54331
KEGG CHEMOKINE SIGNALING PATHWAY	108
KEGG CHEMOKINE SIGNALING PATHWAY	6372
KEGG CHEMOKINE SIGNALING PATHWAY	107
KEGG CHEMOKINE SIGNALING PATHWAY	10803
KEGG CHEMOKINE SIGNALING PATHWAY	729230
KEGG CHEMOKINE SIGNALING PATHWAY	6370
KEGG CHEMOKINE SIGNALING PATHWAY	5829
KEGG CHEMOKINE SIGNALING PATHWAY	2833
KEGG CHEMOKINE SIGNALING PATHWAY	1445
KEGG CHEMOKINE SIGNALING PATHWAY	9560
KEGG CHEMOKINE SIGNALING PATHWAY	2309
KEGG CHEMOKINE SIGNALING PATHWAY	5566
KEGG CHEMOKINE SIGNALING PATHWAY	9564
KEGG CHEMOKINE SIGNALING PATHWAY	5567
KEGG CHEMOKINE SIGNALING PATHWAY	10681
KEGG CHEMOKINE SIGNALING PATHWAY	5568
KEGG CHEMOKINE SIGNALING PATHWAY	5058
KEGG CHEMOKINE SIGNALING PATHWAY	2773
KEGG CHEMOKINE SIGNALING PATHWAY	1398
KEGG CHEMOKINE SIGNALING PATHWAY	6387
KEGG CHEMOKINE SIGNALING PATHWAY	2826
KEGG CHEMOKINE SIGNALING PATHWAY	2782
KEGG CHEMOKINE SIGNALING PATHWAY	1399
KEGG CHEMOKINE SIGNALING PATHWAY	2829
KEGG CHEMOKINE SIGNALING PATHWAY	2185
KEGG CHEMOKINE SIGNALING PATHWAY	998
KEGG CHEMOKINE SIGNALING PATHWAY	5330
KEGG CHEMOKINE SIGNALING PATHWAY	6655
KEGG CHEMOKINE SIGNALING PATHWAY	114
KEGG CHEMOKINE SIGNALING PATHWAY	3627
KEGG CHEMOKINE SIGNALING PATHWAY	23236
KEGG CHEMOKINE SIGNALING PATHWAY	115
KEGG CHEMOKINE SIGNALING PATHWAY	112
KEGG CHEMOKINE SIGNALING PATHWAY	1147
KEGG CHEMOKINE SIGNALING PATHWAY	5894
KEGG CHEMOKINE SIGNALING PATHWAY	5579
KEGG CHEMOKINE SIGNALING PATHWAY	113
KEGG CHEMOKINE SIGNALING PATHWAY	2919
KEGG CHEMOKINE SIGNALING PATHWAY	6464
KEGG CHEMOKINE SIGNALING PATHWAY	5331
KEGG CHEMOKINE SIGNALING PATHWAY	5332
KEGG CHEMOKINE SIGNALING PATHWAY	111
KEGG CHEMOKINE SIGNALING PATHWAY	643
KEGG CHEMOKINE SIGNALING PATHWAY	10850
KEGG CHEMOKINE SIGNALING PATHWAY	7454
KEGG CHEMOKINE SIGNALING PATHWAY	57580
KEGG CHEMOKINE SIGNALING PATHWAY	387
KEGG CHEMOKINE SIGNALING PATHWAY	7852
KEGG CHEMOKINE SIGNALING PATHWAY	3579
KEGG CHEMOKINE SIGNALING PATHWAY	94235
KEGG CHEMOKINE SIGNALING PATHWAY	3577
KEGG CHEMOKINE SIGNALING PATHWAY	56477
KEGG CHEMOKINE SIGNALING PATHWAY	5580
KEGG CHEMOKINE SIGNALING PATHWAY	3055
KEGG CHEMOKINE SIGNALING PATHWAY	3576
KEGG CHEMOKINE SIGNALING PATHWAY	5880
KEGG CHEMOKINE SIGNALING PATHWAY	8976
KEGG CHEMOKINE SIGNALING PATHWAY	10235
KEGG CHEMOKINE SIGNALING PATHWAY	5604
KEGG CHEMOKINE SIGNALING PATHWAY	196883
KEGG CHEMOKINE SIGNALING PATHWAY	1232
KEGG CHEMOKINE SIGNALING PATHWAY	1233
KEGG CHEMOKINE SIGNALING PATHWAY	10663
KEGG CHEMOKINE SIGNALING PATHWAY	1234
KEGG CHEMOKINE SIGNALING PATHWAY	5590
KEGG CHEMOKINE SIGNALING PATHWAY	1235
KEGG CHEMOKINE SIGNALING PATHWAY	1236
KEGG CHEMOKINE SIGNALING PATHWAY	1237
