SYMBOL	GO.TERM	entrezgene_id
FAM32A	GO:0006915	26017
FAM3B	GO:0006915	54097
FANK1	GO:0006915	92565
FAP	GO:0006915	2191
FAS	GO:0006915	355
FASLG	GO:0006915	356
FASTK	GO:0006915	10922
FATE1	GO:0006915	89885
FBH1	GO:0006915	84893
FBXO10	GO:0006915	26267
FBXO11	GO:0006915	80204
FBXW7	GO:0006915	55294
FCER1G	GO:0006915	2207
FCMR	GO:0006915	9214
FEM1B	GO:0006915	10116
FFAR4	GO:0006915	338557
FGA	GO:0006915	2243
FGB	GO:0006915	2244
FGD1	GO:0006915	2245
FGD2	GO:0006915	221472
FGD3	GO:0006915	89846
FGD4	GO:0006915	121512
FGF10	GO:0006915	2255
FGF20	GO:0006915	26281
FGF21	GO:0006915	26291
FGF4	GO:0006915	2249
FGF8	GO:0006915	2253
FGFR1	GO:0006915	2260
FGFR2	GO:0006915	2263
FGFR3	GO:0006915	2261
FGG	GO:0006915	2266
FHIT	GO:0006915	2272
FHL2	GO:0006915	2274
FIGNL1	GO:0006915	63979
FIS1	GO:0006915	51024
FKBP8	GO:0006915	23770
FLCN	GO:0006915	201163
FLNA	GO:0006915	2316
FLT3	GO:0006915	2322
FLT3LG	GO:0006915	2323
FLT4	GO:0006915	2324
FMN2	GO:0006915	56776
FNIP1	GO:0006915	96459
FNIP2	GO:0006915	57600
FOSL1	GO:0006915	8061
FOXA1	GO:0006915	3169
FOXB1	GO:0006915	27023
FOXC1	GO:0006915	2296
