source	target
KEGG RNA POLYMERASE	5432
KEGG RNA POLYMERASE	30834
KEGG BASAL TRANSCRIPTION FACTORS	387332
KEGG BASAL TRANSCRIPTION FACTORS	138474
KEGG BASAL TRANSCRIPTION FACTORS	6873
KEGG BASAL TRANSCRIPTION FACTORS	6874
KEGG BASAL TRANSCRIPTION FACTORS	54457
KEGG BASAL TRANSCRIPTION FACTORS	6872
KEGG BASAL TRANSCRIPTION FACTORS	51616
KEGG BASAL TRANSCRIPTION FACTORS	11036
KEGG BASAL TRANSCRIPTION FACTORS	11037
KEGG BASAL TRANSCRIPTION FACTORS	6908
KEGG BASAL TRANSCRIPTION FACTORS	2957
KEGG BASAL TRANSCRIPTION FACTORS	2959
KEGG BASAL TRANSCRIPTION FACTORS	2958
KEGG BASAL TRANSCRIPTION FACTORS	6882
KEGG BASAL TRANSCRIPTION FACTORS	6883
KEGG BASAL TRANSCRIPTION FACTORS	27097
KEGG BASAL TRANSCRIPTION FACTORS	6884
KEGG BASAL TRANSCRIPTION FACTORS	9569
KEGG BASAL TRANSCRIPTION FACTORS	6880
KEGG BASAL TRANSCRIPTION FACTORS	6881
KEGG BASAL TRANSCRIPTION FACTORS	2966
KEGG BASAL TRANSCRIPTION FACTORS	6879
KEGG BASAL TRANSCRIPTION FACTORS	2965
KEGG BASAL TRANSCRIPTION FACTORS	10629
KEGG BASAL TRANSCRIPTION FACTORS	2963
KEGG BASAL TRANSCRIPTION FACTORS	2962
KEGG BASAL TRANSCRIPTION FACTORS	2961
KEGG BASAL TRANSCRIPTION FACTORS	6875
KEGG BASAL TRANSCRIPTION FACTORS	6878
KEGG BASAL TRANSCRIPTION FACTORS	2960
KEGG BASAL TRANSCRIPTION FACTORS	6877
KEGG BASAL TRANSCRIPTION FACTORS	2969
KEGG BASAL TRANSCRIPTION FACTORS	2968
KEGG BASAL TRANSCRIPTION FACTORS	9519
KEGG BASAL TRANSCRIPTION FACTORS	2967
KEGG DNA REPLICATION	1763
KEGG DNA REPLICATION	56655
KEGG DNA REPLICATION	54107
KEGG DNA REPLICATION	5557
KEGG DNA REPLICATION	5558
KEGG DNA REPLICATION	57804
KEGG DNA REPLICATION	5984
KEGG DNA REPLICATION	5985
KEGG DNA REPLICATION	6117
KEGG DNA REPLICATION	5422
KEGG DNA REPLICATION	6119
KEGG DNA REPLICATION	10714
KEGG DNA REPLICATION	79621
KEGG DNA REPLICATION	6118
KEGG DNA REPLICATION	5111
KEGG DNA REPLICATION	29935
KEGG DNA REPLICATION	246243
KEGG DNA REPLICATION	84153
KEGG DNA REPLICATION	4173
KEGG DNA REPLICATION	5427
KEGG DNA REPLICATION	4172
KEGG DNA REPLICATION	4175
KEGG DNA REPLICATION	4174
KEGG DNA REPLICATION	23649
KEGG DNA REPLICATION	4176
KEGG DNA REPLICATION	5424
KEGG DNA REPLICATION	5425
KEGG DNA REPLICATION	10535
KEGG DNA REPLICATION	5426
KEGG DNA REPLICATION	5981
KEGG DNA REPLICATION	5983
KEGG DNA REPLICATION	5982
KEGG DNA REPLICATION	4171
KEGG DNA REPLICATION	2237
KEGG DNA REPLICATION	3978
